product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/rowlans-100-genuine-durable-comfortable-casual-sport-training-gym-shoes-women/p/itm3a5f8b6f72284?pid=SHOGXGMSACGYWC9T&lid=LSTSHOGXGMSACGYWC9TBEWTF3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spyMiF7nQTf6DLmGLwvkQVML5Uf-8TcsW6WOJGtBFsITw%3D%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"100% Genuine,Durable,comfortable,Casual Sport Training & Gym Shoes For Women",Rowlans,499,0.75,3.8,137
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itmfaa6b7cacbce5?pid=SHOGUYEUKKBK7XAF&lid=LSTSHOGUYEUKKBK7XAFZJ8VBF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spNTTUj2wl7ss_VxxJRJTfCNCHi3ptANoqQMIPhg95Pzq8iqbiwhGf4dwbXVx7ZSks%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian,773,0.48,4.2,5057
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QCXKDMSUR&lid=LSTSHOEEF3QCXKDMSURB1VIXE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOEEF3QCXKDMSUR.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian,669,0.16,4.2,98706
https://www.flipkart.com/fabbmate-casual-sports-shoes-white-sneakers-women-girls/p/itma5fcb289f70ae?pid=SHOHF5MMWFRWCGVA&lid=LSTSHOHF5MMWFRWCGVANKZBU3&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHF5MMWFRWCGVA.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Fabbmate Casual Sports shoes White Sneakers for Women Girls White Shoes Sneakers For Women,Fabbmate,447,0.55,4,14918
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHQRQBUJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGPDFBT6ZTMUDH.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,799,0.23,4.2,98706
https://www.flipkart.com/asian-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGGAUKHRQTFZG&lid=LSTSHOGGGAUKHRQTFZGAAVXYM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGGGAUKHRQTFZG.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian,824,0.45,4.1,22285
https://www.flipkart.com/avant-smoothfit-outdoor-sports-shoes-enhanced-grip-tpr-outsole-running-women/p/itm6e02760e89759?pid=SHOGXGDFAETZCEZR&lid=LSTSHOGXGDFAETZCEZRHH2EU5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3soRnLUpetUiOPk_rdshjtbLge_wR1Cd_isXEHmlNwvZ3MsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Smoothfit Outdoor Sports Shoes with Enhanced Grip TPR Outsole Running Shoes For Women,AVANT,839,0.35,4.2,319
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itm49516edb35b9a?pid=SHOGHU8DYXFPQX73&lid=LSTSHOGHU8DYXFPQX73IMANP1&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGHU8DYXFPQX73.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS,970,0.3,4.2,51790
https://www.flipkart.com/campus-alexa-running-shoes-women/p/itm5a88df1dde229?pid=SHOFN723HJH67KEG&lid=LSTSHOFN723HJH67KEG9S2OH2&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOFN723HJH67KEG.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,ALEXA Running Shoes For Women,CAMPUS,713,0.58,4.3,16198
https://www.flipkart.com/cult-active-running-shoes-breathable-mesh-upper-enhanced-cushioning-shoes-women/p/itm9bae17daa96fa?pid=SHOHCTM3V63UADXZ&lid=LSTSHOHCTM3V63UADXZKYY9WP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3srx_jstgtIC0I-uy1GUmap0FD-tQpTe4knZNnSAmCj0r2JMZAJirnjvZRqZ0WhE16A%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Active Running Shoes, Breathable Mesh Upper, Enhanced Cushioning Running Shoes For Women",Cult,2249,0.55,4.4,130
