product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/off-limits-gladiator-w-running-shoes-women/p/itmabedf47379ec7?pid=SHOHBYFZ245DX2HX&lid=LSTSHOHBYFZ245DX2HXHFBGZH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_51&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW4topwHm-SGvbCz2cEiIqBWp_L_KUcKFc5bk6s80aizjg%3D%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,GLADIATOR W Running Shoes For Women,OFF LIMITS,1899,0.7,4.4,30
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itmfaa6b7cacbce5?pid=SHOGUYEUKKBK7XAF&lid=LSTSHOGUYEUKKBK7XAFZJ8VBF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_52&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW6WieY-T_v87Br4ba9gloOy1zNM9YpFPt2ybtguuohBAvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian,773,0.48,4.2,5057
https://www.flipkart.com/asian-sneakers-gym-sports-casual-walking-stylish-destiny-04-running-shoes-women/p/itmef7e26aefaace?pid=SHOH5Z3KZJXGPQJN&lid=LSTSHOH5Z3KZJXGPQJN31MRUC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_55&otracker=search&otracker1=search&fm=organic&iid=ad21d811-ec6c-4f34-a186-d308ad1b0514.SHOH5Z3KZJXGPQJN.SEARCH&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"Sneakers,Gym,Sports,Casual,Walking,Stylish Destiny-04 Running Shoes For Women",asian,832,0.38,4,10250
https://www.flipkart.com/asian-grey-sports-gym-walking-training-stylish-running-shoes-women/p/itm8b461c6433a0b?pid=SHOGPDGUKGYPZNBF&lid=LSTSHOGPDGUKGYPZNBF5HICIW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_57&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW5b4zuPGgfYdm4xbOBjJZeVhOtzi-gTmLDKjAm8ImtI3PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"Grey Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian,799,0.23,4.2,98706
https://www.flipkart.com/avant-smoothfit-outdoor-sports-shoes-enhanced-grip-tpr-outsole-running-women/p/itm6e02760e89759?pid=SHOGXGDFAETZCEZR&lid=LSTSHOGXGDFAETZCEZRHH2EU5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_58&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW6uUbiOKwgGyirvPX50UOafQ2Zwe-0zUj5c3tz1Cjq6ePUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Smoothfit Outdoor Sports Shoes with Enhanced Grip TPR Outsole Running Shoes For Women,AVANT,839,0.35,4.2,319
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itmc0b0d71bdca42?pid=SHOGARZCFGEHHYSZ&lid=LSTSHOGARZCFGEHHYSZYZFGJT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_60&otracker=search&otracker1=search&fm=organic&iid=ad21d811-ec6c-4f34-a186-d308ad1b0514.SHOGARZCFGEHHYSZ.SEARCH&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS,970,0.3,4.2,51790
https://www.flipkart.com/asian-casual-sneaker-shoes-women-stylish-comfortable-lace-up-style-running/p/itm4d4bf71704096?pid=SHOGUYAAEZSAYQWU&lid=LSTSHOGUYAAEZSAYQWUE6ZNWV&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_61&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW4yYNHUzvi7A_987ajckXJdMZKhFhbhcujpGBm_Yg1z1_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Casual Sneaker Shoes For Women | Stylish and Comfortable | Lace-Up Style Running Shoes For Women,asian,773,0.48,4.2,5057
https://www.flipkart.com/cult-active-running-shoes-breathable-mesh-upper-enhanced-cushioning-shoes-women/p/itm9bae17daa96fa?pid=SHOHCTM3V63UADXZ&lid=LSTSHOHCTM3V63UADXZKYY9WP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_62&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW4QGrXR3UuGxebRnyv5VbmrJIG673dnXX-e_jtGOZUeG6V8WX5krIChubBlraAu4CQ%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"Active Running Shoes, Breathable Mesh Upper, Enhanced Cushioning Running Shoes For Women",Cult,2249,0.55,4.4,130
https://www.flipkart.com/trase-comfy-sports-walking-shoes-women/p/itm3ea9b554ad00a?pid=SHOHDBH3VMGEBDN8&lid=LSTSHOHDBH3VMGEBDN8OX1BND&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_67&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW4J1KSWUpBdZLAbGVbtbwqVut3KrLFXnA-X4yhp5IW1Ag%3D%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,Comfy Sports Walking Shoes For Women,TRASE,448,0.65,4.2,245
https://www.flipkart.com/avant-magix-running-training-shoes-superior-traction-anti-skid-lightweight-shoes-women/p/itm8902c4f38ea68?pid=SHOHYGASUGYKQGG4&lid=LSTSHOHYGASUGYKQGG4XESAHW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_68&otracker=search&otracker1=search&fm=organic&iid=en_sBv0KpJ7SPj8CSUYhc0z7WSqWBAtCUDEocOKdGi8bW7oIMrTEsZ2nRHiuBH5-y6ts0iFFZiETrl9XzsWQhzvQhhTy0lUJ14SzoMSv_CzLF0%3D&ppt=None&ppn=None&ssid=9yo4tfywmo0000001763207668836&qH=32e27b1148959538,"MagiX Running and Training Shoes-Superior Traction,Anti Skid, Lightweight Running Shoes For Women",AVANT,845,0.39,4.2,420
